method,K,TE,Turnover,MTD
factor + mse,5,0.0877 ± 0.0080,0.0005 ± 0.0003,0.2059
factor + mse,10,0.0529 ± 0.0037,0.0008 ± 0.0004,0.1126
factor + mse,20,0.0325 ± 0.0065,0.0012 ± 0.0006,0.0589
factor + mse,30,0.0212 ± 0.0025,0.0010 ± 0.0005,0.0568
factor + mse,50,0.0100 ± 0.0010,0.0007 ± 0.0002,0.0248
factor + task,5,0.0789 ± 0.0048,0.0555 ± 0.0180,0.1790
factor + task,10,0.0485 ± 0.0035,0.0515 ± 0.0160,0.1064
factor + task,20,0.0286 ± 0.0026,0.0506 ± 0.0126,0.0508
factor + task,30,0.0200 ± 0.0012,0.0339 ± 0.0098,0.0577
factor + task,50,0.0101 ± 0.0009,0.0206 ± 0.0044,0.0252
neural + mse,5,0.0877 ± 0.0080,0.0027 ± 0.0007,0.2060
neural + mse,10,0.0530 ± 0.0038,0.0044 ± 0.0027,0.1127
neural + mse,20,0.0326 ± 0.0066,0.0030 ± 0.0024,0.0592
neural + mse,30,0.0212 ± 0.0025,0.0031 ± 0.0015,0.0572
neural + mse,50,0.0100 ± 0.0010,0.0011 ± 0.0005,0.0250
neural + task,5,0.0794 ± 0.0049,0.0418 ± 0.0222,0.1788
neural + task,10,0.0495 ± 0.0020,0.0478 ± 0.0234,0.1134
neural + task,20,0.0287 ± 0.0026,0.0296 ± 0.0134,0.0549
neural + task,30,0.0202 ± 0.0013,0.0065 ± 0.0071,0.0584
neural + task,50,0.0100 ± 0.0009,0.0005 ± 0.0008,0.0250
